City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
72,Olafsvik,64.8945,-23.7142,43.84,98,100,11.95,IS,4/16/22 21:13
73,Lompoc,34.6391,-120.4579,66.61,73,75,13,US,4/16/22 21:13
74,Usinsk,65.9939,57.5281,13.33,95,28,4.81,RU,4/16/22 21:13
75,Perth,-31.9333,115.8333,58.66,86,0,6.91,AU,4/16/22 21:08
76,Chittaurgarh,24.8833,74.6333,80.06,16,0,6.22,IN,4/16/22 21:13
77,Seoul,37.5683,126.9778,44.04,67,0,3.38,KR,4/16/22 21:13
78,Saint-Philippe,-21.3585,55.7679,74.79,81,57,10.98,RE,4/16/22 21:13
79,Sambava,-14.2667,50.1667,75.78,86,3,11.63,MG,4/16/22 21:13
80,Merauke,-8.4667,140.3333,76.86,90,100,7.81,ID,4/16/22 21:13
81,Bodh Gaya,24.7,84.9833,83.68,15,13,1.66,IN,4/16/22 21:13
82,Carnarvon,-24.8667,113.6333,75.27,78,40,17.27,AU,4/16/22 21:13
83,Cape Town,-33.9258,18.4232,60.91,69,0,11.99,ZA,4/16/22 21:11
84,Cayenne,4.9333,-52.3333,82.44,1,40,11.5,GF,4/16/22 21:10
85,Kapaa,22.0752,-159.319,80.58,90,75,17.27,US,4/16/22 21:09
86,Longyearbyen,78.2186,15.6401,22.84,74,75,10.36,SJ,4/16/22 21:13
87,Naryshkino,52.9678,35.7268,33.82,97,100,13.29,RU,4/16/22 21:13
88,Huarmey,-10.0681,-78.1522,71.87,73,70,12.95,PE,4/16/22 21:13
89,Umm Lajj,25.0213,37.2685,80.29,43,0,5.46,SA,4/16/22 21:13
90,Redcliffe,-27.2307,153.0973,65.44,82,0,11.5,AU,4/16/22 21:13
91,Butaritari,3.0707,172.7902,81.14,78,34,14.54,KI,4/16/22 21:13
92,Ossora,59.2353,163.0719,25.36,75,100,5.01,RU,4/16/22 21:14
