City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
60,Anadyr,64.75,177.4833,30.7,93,40,17.9,light snow,RU,2022-04-17 15:49:08
61,Calbuco,-41.768,-73.1273,51.01,79,95,2.8,overcast clouds,CL,2022-04-17 15:49:08
62,Churapcha,62.0025,132.4325,10.53,95,18,3.49,few clouds,RU,2022-04-17 15:49:09
63,Saint Paul Harbor,57.79,-152.4072,35.11,87,100,4.61,light rain,US,2022-04-17 15:49:09
64,Independência,-5.3964,-40.3086,90.91,41,74,5.23,broken clouds,BR,2022-04-17 15:49:10
65,Yar-Sale,66.8333,70.8333,14.45,92,88,7.85,overcast clouds,RU,2022-04-17 15:49:10
66,Mapiri,-15.25,-68.1667,67.71,91,100,0.38,overcast clouds,BO,2022-04-17 15:49:10
67,Lebu,-37.6167,-73.65,59.16,79,100,9.04,overcast clouds,CL,2022-04-17 15:39:42
68,Pilar,-9.5972,-35.9567,82.33,53,53,9.28,broken clouds,BR,2022-04-17 15:45:24
69,Kuna,43.4918,-116.4201,45.09,63,0,1.01,clear sky,US,2022-04-17 15:49:11
70,Rybnaya Sloboda,55.4613,50.1409,37.65,98,100,10.38,overcast clouds,RU,2022-04-17 15:49:11
71,Krasnogvardeyskiy,57.3793,62.3195,35.06,76,86,2.73,overcast clouds,RU,2022-04-17 15:49:12
72,Undory,54.6085,48.3928,54.64,96,100,5.59,overcast clouds,RU,2022-04-17 15:49:12
73,Jamestown,42.097,-79.2353,35.19,49,75,10.36,broken clouds,US,2022-04-17 15:36:23
74,Cape Town,-33.9258,18.4232,70.11,71,0,14.0,clear sky,ZA,2022-04-17 15:49:13
75,Thompson,55.7435,-97.8558,21.36,53,20,0.0,few clouds,CA,2022-04-17 15:49:13
76,Kirakira,-10.4544,161.9205,79.63,81,100,5.32,overcast clouds,SB,2022-04-17 15:49:14
77,College,64.8569,-147.8028,13.98,50,20,9.22,few clouds,US,2022-04-17 15:47:32
78,Ushuaia,-54.8,-68.3,47.86,71,75,5.75,broken clouds,AR,2022-04-17 15:36:32
79,Havelock,34.8791,-76.9013,69.98,68,20,16.11,few clouds,US,2022-04-17 15:49:14
80,Qinzhou,21.95,108.6167,59.09,87,100,12.88,overcast clouds,CN,2022-04-17 15:49:15
81,Pionerskiy,54.9508,20.2275,45.75,65,78,10.76,broken clouds,RU,2022-04-17 15:49:15
82,East London,-33.0153,27.9116,69.53,75,67,15.05,broken clouds,ZA,2022-04-17 15:49:15
83,Avarua,-21.2078,-159.775,75.25,94,40,1.14,scattered clouds,CK,2022-04-17 15:39:47
84,Dzaoudzi,-12.7887,45.2699,82.29,74,20,8.05,few clouds,YT,2022-04-17 15:49:16
85,Lompoc,34.6391,-120.4579,55.85,94,100,5.75,mist,US,2022-04-17 15:45:55
